"Name","Args","SecDef","SearchPath","AuthUid","Company","DynamicSQL","SwallowErr","Line"
"add_vin_parts_to_inventory","(p_company_id uuid, p_vehicle jsonb, p_parts jsonb)","True","True","True","True","False","False","10"
"admin_recalculate_all_stock","(p_company_id uuid)","True","True","True","True","False","False","114"
"api_v1_fin_generate_grn_je","(p_company_id uuid, p_grn_id uuid, p_created_by uuid)","True","True","False","False","False","True","180"
"api_v1_fin_post_journal_entry","(p_company_id uuid, p_journal_date date, p_reference_type character varying, p_reference_id uuid, p_description text, p_lines jsonb, p_created_by uuid DEFAULT NULL::uuid, p_force_post boolean DEFAULT true)","True","True","False","False","False","True","253"
"api_v1_inv_create_warehouse","(p_company_id uuid, p_code character varying, p_name_ar character varying, p_name_en character varying DEFAULT NULL::character varying, p_location text DEFAULT NULL::text, p_branch_id uuid DEFAULT NULL::uuid)","True","True","False","False","False","True","360"
"api_v1_inv_record_movement","(p_company_id uuid, p_warehouse_id uuid, p_movement_type inv_movement_type, p_reference_type character varying, p_reference_id uuid, p_items jsonb, p_created_by uuid DEFAULT NULL::uuid, p_notes text DEFAULT NULL::text)","True","True","False","False","False","True","381"
"api_v1_prc_accept_grn","(p_company_id uuid, p_grn_id uuid, p_accepted_by uuid)","True","True","False","False","False","True","461"
"api_v1_prc_act_on_pr","(p_company_id uuid, p_pr_id uuid, p_action character varying, p_actor_id uuid, p_notes text DEFAULT NULL::text)","True","True","False","False","False","True","580"
"api_v1_prc_add_supplier_product","(p_company_id uuid, p_supplier_id uuid, p_product_id uuid, p_supplier_sku character varying DEFAULT NULL::character varying, p_moq numeric DEFAULT 1, p_order_multiple numeric DEFAULT 1, p_lead_time_days smallint DEFAULT 0, p_preferred_supplier boolean DEFAULT false, p_priority smallint DEFAULT 100)","True","True","False","False","False","True","621"
"api_v1_prc_approve_supplier","(p_company_id uuid, p_supplier_id uuid, p_approved boolean, p_approved_by uuid, p_rejection_reason text DEFAULT NULL::text)","True","True","False","False","False","True","656"
"api_v1_prc_approve_variance","(p_company_id uuid, p_invoice_id uuid, p_match_id uuid, p_approved_by uuid, p_resolution_notes text)","True","True","False","False","False","True","682"
"api_v1_prc_award_rfq","(p_company_id uuid, p_evaluation_id uuid, p_awarded_by uuid, p_justification text DEFAULT NULL::text, p_selected_quotation_id uuid DEFAULT NULL::uuid, p_split_awards jsonb DEFAULT NULL::jsonb)","True","True","False","False","False","True","702"
"api_v1_prc_block_supplier","(p_company_id uuid, p_supplier_id uuid, p_action character varying, p_reason text, p_blocked_by uuid)","True","True","False","False","False","True","740"
"api_v1_prc_calculate_ranking","(p_company_id uuid, p_evaluation_id uuid, p_price_weight numeric DEFAULT 0.50, p_technical_weight numeric DEFAULT 0.30, p_delivery_weight numeric DEFAULT 0.20)","True","True","False","False","False","True","769"
"api_v1_prc_calculate_supplier_metrics","(p_company_id uuid, p_supplier_id uuid, p_period_start date, p_period_end date)","True","True","False","False","False","True","798"
"api_v1_prc_cancel_po","(p_company_id uuid, p_po_id uuid, p_cancelled_by uuid, p_reason text DEFAULT NULL::text)","True","True","False","False","False","True","866"
"api_v1_prc_cancel_pr","(p_company_id uuid, p_pr_id uuid, p_cancelled_by uuid, p_reason text DEFAULT NULL::text)","True","True","False","False","False","True","892"
"api_v1_prc_close_rfq","(p_company_id uuid, p_rfq_id uuid, p_closed_by uuid DEFAULT NULL::uuid)","True","True","False","False","False","True","922"
"api_v1_prc_create_grn","(p_company_id uuid, p_po_id uuid, p_received_by uuid, p_delivery_note_number character varying DEFAULT NULL::character varying, p_warehouse_id uuid DEFAULT NULL::uuid, p_notes text DEFAULT NULL::text, p_items jsonb DEFAULT '[]'::jsonb)","True","True","False","False","False","True","939"
