"RPC","BaselineLine","SecDef","SearchPath","AuthUid","CompanyGate","DynamicSQL","SwallowErr"
"add_vin_parts_to_inventory","10","True","True","True","True","False","False"
"assemble_kit","1733","True","True","False","False","False","False"
"break_overdue_promises","2114","True","True","False","False","False","False"
"commit_expense_v2","2519","True","True","False","False","False","False"
"commit_payment","2618","True","True","False","True","False","False"
"commit_purchase_invoice","2664","True","True","True","True","False","False"
"commit_purchase_return","2813","True","True","True","True","False","False"
"commit_sale_return","2946","True","True","True","True","False","False"
"commit_sales_invoice_v2","3084","True","True","True","False","False","True"
"complete_promise","3260","True","True","False","False","False","False"
"convert_quotation_to_po_transactional","not in baseline","?","?","?","?","?","?"
"create_cashbox","3392","True","True","True","True","False","False"
"create_exchange_company","3452","True","True","True","True","False","False"
"create_financial_bond","3514","True","True","True","True","False","False"
"create_stock_transfer","3618","True","True","True","True","False","False"
"disassemble_kit","3663","True","True","False","False","False","False"
"ensure_vehicle","3730","True","True","False","False","False","False"
"finalize_audit_session","3774","True","True","False","False","False","False"
"get_account_ledger","4966","True","True","True","True","False","False"
"get_bonds_stats","5203","True","True","True","True","False","False"
"get_cash_liquidity","5276","True","True","True","True","False","False"
"get_customer_stats","5444","True","True","True","True","False","False"
"get_dead_stock","5588","True","True","False","True","False","False"
"get_debt_analytics_summary","5612","True","True","False","False","False","False"
"get_debt_followup_dashboard","5689","True","True","False","False","False","False"
"get_debt_party_overview","5815","True","True","False","False","False","False"
"get_debt_today_tasks","5872","True","True","False","False","False","False"
"get_expense_stats","5965","True","True","False","True","False","False"
"get_item_movements_with_balance","6048","True","True","True","True","False","False"
"get_low_stock_products","6111","True","True","False","False","False","False"
"get_matching_inventory_products","6140","True","True","False","True","False","False"
"get_monthly_performance","6210","True","True","False","False","False","False"
"get_next_invoice_number","6264","True","True","False","False","False","False"
"get_next_sequence","6304","True","True","False","False","False","False"
"get_party_all_balances","6513","True","True","False","False","False","False"
"get_party_statement","6546","True","True","False","True","False","False"
"get_popular_products","6668","True","True","False","False","False","False"
"get_potential_duplicates","6701","True","True","False","True","False","False"
"get_purchase_stats","6884","True","True","False","True","False","False"
"get_sales_analytics","6904","True","True","False","True","False","False"
"get_similar_products","6984","True","True","True","True","False","False"
"get_stock_valuation","7005","True","True","False","True","False","False"
"get_top_customers_by_revenue","7028","True","True","False","True","False","False"
"get_top_selling_products","7102","True","True","False","True","False","False"
"get_user_permissions","7133","True","True","True","False","False","False"
"get_user_profile","7148","True","True","True","True","False","False"
"get_warehouses_with_stats","7243","True","True","False","True","False","False"
"has_permission","7284","True","True","True","False","False","False"
"incentive_calculate_period","7408","True","True","False","False","False","False"
"incentive_create_engineer_link","7697","True","True","False","True","True","False"
"incentive_create_plan","7798","True","True","False","False","False","False"
"incentive_create_rule","7820","True","True","False","False","False","False"
"incentive_detect_pending_invoices","7902","True","True","False","False","False","False"
"incentive_mark_pending_resolved","7981","True","True","False","False","False","False"
"incentive_period_transition","8024","True","True","False","False","False","False"
"incentive_update_plan","8122","True","True","False","False","False","False"
"post_manual_journal","8331","True","True","True","True","False","False"
"process_sales_return","8860","True","True","False","True","False","True"
"quick_adjust_stock_batch","not in baseline","?","?","?","?","?","?"
"record_debt_reminder","9352","True","True","True","False","False","False"
"report_account_balances","not in baseline","?","?","?","?","?","?"
"report_balance_sheet","9393","True","True","False","False","False","False"
"report_cash_flow","9451","True","True","False","False","False","False"
"report_debts","9539","True","True","True","True","False","False"
"report_profit_loss","9601","True","True","False","False","False","False"
"report_trial_balance","9647","True","True","False","False","False","False"
"resolve_vehicle_from_vin","9686","True","True","False","False","False","False"
"save_product_uoms","9845","True","True","False","False","False","False"
"search_by_oem","9873","True","True","False","False","False","False"
"search_inventory_paginated","10090","True","True","False","True","False","False"
"submit_vendor_quotation_revision","not in baseline","?","?","?","?","?","?"
"void_bond","11298","True","True","False","False","False","False"
"void_expense","11325","True","True","True","True","False","False"
"void_invoice","11363","True","True","True","True","False","False"
