"File","Funcs","SecDef","SearchPath","AuthUid","CompanyGate","DynamicSQL","SwallowErr"
"20260819000001_baseline_schema.sql","0","0","0","0","21","0","0"
"20260819000002_baseline_functions.sql","286","234","282","76","82","0","40"
"20260819000003_baseline_triggers_policies.sql","0","0","0","35","521","0","0"
"20260819000004_privileges.sql","0","0","0","0","6","0","0"
"20260819000005_file_attachments_storage.sql","0","0","0","0","6","0","0"
"20260819000006_index_fk_search_path.sql","0","0","0","0","0","1","0"
"20260819000007_companies_update_policy.sql","1","1","0","3","3","0","0"
"20260819000008_purchase_payment_accounting.sql","4","3","2","1","2","0","0"
"20260819000009_sales_cash_fund_accounting.sql","2","2","2","1","0","0","1"
"20260819000010_accounting_security_hardening.sql","8","9","8","2","9","0","0"
"20260819000011_report_account_balances.sql","1","1","1","0","1","0","0"
"20260819000012_transfer_bond_journal.sql","3","3","3","2","2","0","0"
"20260819000013_numbering_locks.sql","1","0","1","0","0","0","0"
"20260819000014_branch_filter_reports.sql","3","3","3","0","3","0","0"
"20260820000001_fix_return_journal_ordering.sql","2","2","2","1","2","0","1"
"20260820000002_add_return_reason_to_commit_purchase_return.sql","1","1","1","1","1","0","0"
"20260820000003_fix_verify_company_access.sql","1","1","1","1","8","0","0"
"20260820000004_accounting_type_based_reports_and_journal_guards.sql","4","3","4","3","3","0","0"
"20260821000001_fix_invitation_privescalation.sql","1","1","1","1","4","0","0"
"20260821000002_revoke_anon_execute_numbering_publish.sql","0","1","0","0","2","0","0"
"20260821000003_fix_external_refs_and_vehicles_policies.sql","0","1","0","0","0","0","0"
"20260821000004_fix_get_next_sequence_and_encoding.sql","3","3","3","1","1","0","0"
"20260821000005_multi_tenant_role_scoping.sql","5","7","5","5","74","2","0"
"20260821000006_seed_role_permissions.sql","0","0","0","0","0","0","0"
"20260821000007_granular_user_permissions.sql","7","7","7","17","11","0","0"
"20260821000007_sync_live_state.sql","0","0","0","0","0","0","0"
"20260821000008_fix_vin_inventory_matching.sql","1","1","1","0","1","0","0"
"20260821000009_fix_vin_product_prices.sql","1","1","1","1","1","0","0"
"20260822000001_tenant_scoped_get_user_permissions.sql","1","1","1","1","2","0","0"
"20260822000002_realtime_publication_coverage.sql","0","0","0","0","0","0","0"
"20260822000003_revoke_anon_has_permission_overload.sql","0","1","0","1","0","0","0"
"20260823000001_fix_debt_module_security_and_correctness.sql","14","14","13","2","12","0","0"
"20260824000001_fix_debt_module_currency_and_statement.sql","4","4","4","1","4","0","0"
"20260824000002_fix_dashboard_sales_chart_data.sql","1","1","1","0","0","0","0"
"20260824000003_fix_arabic_encoding_functions.sql","4","4","3","3","2","0","0"
"20260825000001_restore_dashboard_rpcs.sql","9","10","9","0","4","0","0"
"20260825000002_quick_adjust_stock_batch_and_void_fix.sql","2","2","2","3","2","0","0"
"20260825000003_supplier_portal_and_procurement_system.sql","3","3","3","16","9","0","0"
"20260825000004_supplier_portal_security_hardening.sql","3","3","3","32","20","0","0"
"20260825000005_fix_procurement_constraints_and_direct_quotes.sql","2","2","2","2","2","0","0"
"20260825000006_internal_chat_collaboration_system.sql","7","7","7","28","16","0","1"
"20260825000007_fix_chat_rls_recursion_and_realtime.sql","1","1","1","8","6","0","0"
"20260826000000_security_sweep_audit.sql","2","1","0","0","0","0","0"
